date,microsensor_pm25_3_C1,microsensor_pm25_4_C1,microsensor_pm25_5_C1,hourofday,monthofyear,season,reference_pm25,temperature,humidity
2023-02-15 21:00:00,33.9407818432324,34.333343565498,42.8388134113742,21,2,Winter,31.5,8.39,99.9
2023-02-15 22:00:00,35.648049939465,35.689031600122,44.5340908205894,22,2,Winter,33.6,7.56,99.9
2023-02-15 23:00:00,34.8768035938368,35.2479040570902,44.0933292607467,23,2,Winter,32.7,6.98,99.9
2023-02-16 00:00:00,33.3552122701675,34.4394700468025,43.4139898463405,0,2,Winter,31.9,6.32,99.9
2023-02-16 01:00:00,26.6904310139687,32.338783251682,40.1364132477641,1,2,Winter,27.2,5.61,99.9
2023-02-16 02:00:00,21.6487565305762,29.0538976007439,36.0104108089901,2,2,Winter,23.7,5.06,99.9
2023-02-16 03:00:00,20.6204709287542,29.7848706417213,36.2839785494604,3,2,Winter,23.2,4.78,99.9
2023-02-16 04:00:00,21.279237741129,29.790836286588,36.2885102383365,4,2,Winter,23.3,3.96,99.9
2023-02-16 05:00:00,17.1762553140658,28.2508099887935,34.9331342655014,5,2,Winter,21.6,3.44,99.9
2023-02-16 06:00:00,14.3306234355232,27.2260126840327,32.0197424145828,6,2,Winter,19.5,3.04,99.9
2023-02-16 07:00:00,18.1408658592846,29.4126462401257,35.165281649701,7,2,Winter,21.4,2.67,99.9
2023-02-16 08:00:00,18.5337891225936,29.627598299924,36.0647716580065,8,2,Winter,22.8,2.84,99.9
